-- 1000 simple math problems (format: expression = answer)
-- Lines starting with -- are ignored by the reader; actual problems follow
1 + 2 = 3
237 + 38 = 275
238 + 39 = 277
239 + 40 = 279
240 + 41 = 281
241 + 42 = 283
242 + 43 = 285
243 + 44 = 287
244 + 45 = 289
245 + 46 = 291
246 + 47 = 293
247 + 48 = 295
248 + 49 = 297
249 + 50 = 299
250 + 51 = 301
251 + 52 = 303
252 + 53 = 305
253 + 54 = 307
254 + 55 = 309
255 + 56 = 311
256 + 57 = 313
257 + 58 = 315
258 + 59 = 317
259 + 60 = 319
260 + 61 = 321
261 + 62 = 323
262 + 63 = 325
263 + 64 = 327
264 + 65 = 329
265 + 66 = 331
266 + 67 = 333
267 + 68 = 335
268 + 69 = 337
269 + 70 = 339
270 + 71 = 341
271 + 72 = 343
272 + 73 = 345
273 + 74 = 347
274 + 75 = 349
275 + 76 = 351
276 + 77 = 353
277 + 78 = 355
278 + 79 = 357
279 + 80 = 359
280 + 81 = 361
281 + 82 = 363
282 + 83 = 365
283 + 84 = 367
284 + 85 = 369
285 + 86 = 371
286 + 87 = 373
287 + 88 = 375
288 + 89 = 377
289 + 90 = 379
290 + 91 = 381
291 + 92 = 383
292 + 93 = 385
293 + 94 = 387
294 + 95 = 389
295 + 96 = 391
296 + 97 = 393
297 + 98 = 395
298 + 99 = 397
299 + 100 = 399
300 + 1 = 301
301 + 2 = 303
302 + 3 = 305
303 + 4 = 307
304 + 5 = 309
305 + 6 = 311
306 + 7 = 313
307 + 8 = 315
308 + 9 = 317
309 + 10 = 319
310 + 11 = 321
311 + 12 = 323
312 + 13 = 325
313 + 14 = 327
314 + 15 = 329
315 + 16 = 331
316 + 17 = 333
317 + 18 = 335
318 + 19 = 337
319 + 20 = 339
320 + 21 = 341
321 + 22 = 343
322 + 23 = 345
323 + 24 = 347
324 + 25 = 349
325 + 26 = 351
326 + 27 = 353
327 + 28 = 355
328 + 29 = 357
329 + 30 = 359
330 + 31 = 361
331 + 32 = 363
332 + 33 = 365
333 + 34 = 367
334 + 35 = 369
335 + 36 = 371
336 + 37 = 373
337 + 38 = 375
338 + 39 = 377
339 + 40 = 379
340 + 41 = 381
341 + 42 = 383
342 + 43 = 385
343 + 44 = 387
344 + 45 = 389
345 + 46 = 391
346 + 47 = 393
347 + 48 = 395
348 + 49 = 397
349 + 50 = 399
350 + 51 = 401
351 + 52 = 403
352 + 53 = 405
353 + 54 = 407
354 + 55 = 409
355 + 56 = 411
356 + 57 = 413
357 + 58 = 415
358 + 59 = 417
359 + 60 = 419
360 + 61 = 421
361 + 62 = 423
362 + 63 = 425
363 + 64 = 427
364 + 65 = 429
365 + 66 = 431
366 + 67 = 433
367 + 68 = 435
368 + 69 = 437
369 + 70 = 439
370 + 71 = 441
371 + 72 = 443
372 + 73 = 445
373 + 74 = 447
374 + 75 = 449
375 + 76 = 451
376 + 77 = 453
377 + 78 = 455
378 + 79 = 457
379 + 80 = 459
380 + 81 = 461
381 + 82 = 463
382 + 83 = 465
383 + 84 = 467
384 + 85 = 469
385 + 86 = 471
386 + 87 = 473
387 + 88 = 475
388 + 89 = 477
389 + 90 = 479
390 + 91 = 481
391 + 92 = 483
392 + 93 = 485
393 + 94 = 487
394 + 95 = 489
395 + 96 = 491
396 + 97 = 493
397 + 98 = 495
398 + 99 = 497
399 + 100 = 499
400 + 1 = 401
401 + 2 = 403
402 + 3 = 405
403 + 4 = 407
404 + 5 = 409
405 + 6 = 411
406 + 7 = 413
407 + 8 = 415
408 + 9 = 417
409 + 10 = 419
410 + 11 = 421
411 + 12 = 423
412 + 13 = 425
413 + 14 = 427
414 + 15 = 429
415 + 16 = 431
416 + 17 = 433
417 + 18 = 435
418 + 19 = 437
419 + 20 = 439
420 + 21 = 441
421 + 22 = 443
422 + 23 = 445
423 + 24 = 447
424 + 25 = 449
425 + 26 = 451
426 + 27 = 453
427 + 28 = 455
428 + 29 = 457
429 + 30 = 459
430 + 31 = 461
431 + 32 = 463
432 + 33 = 465
433 + 34 = 467
434 + 35 = 469
435 + 36 = 471
436 + 37 = 473
437 + 38 = 475
438 + 39 = 477
439 + 40 = 479
440 + 41 = 481
441 + 42 = 483
442 + 43 = 485
443 + 44 = 487
444 + 45 = 489
445 + 46 = 491
446 + 47 = 493
447 + 48 = 495
448 + 49 = 497
449 + 50 = 499
450 + 51 = 501
451 + 52 = 503
452 + 53 = 505
453 + 54 = 507
454 + 55 = 509
455 + 56 = 511
456 + 57 = 513
457 + 58 = 515
458 + 59 = 517
459 + 60 = 519
460 + 61 = 521
461 + 62 = 523
462 + 63 = 525
463 + 64 = 527
464 + 65 = 529
465 + 66 = 531
466 + 67 = 533
467 + 68 = 535
468 + 69 = 537
469 + 70 = 539
470 + 71 = 541
471 + 72 = 543
472 + 73 = 545
473 + 74 = 547
474 + 75 = 549
475 + 76 = 551
476 + 77 = 553
477 + 78 = 555
478 + 79 = 557
479 + 80 = 559
480 + 81 = 561
481 + 82 = 563
482 + 83 = 565
483 + 84 = 567
484 + 85 = 569
485 + 86 = 571
486 + 87 = 573
487 + 88 = 575
488 + 89 = 577
489 + 90 = 579
490 + 91 = 581
491 + 92 = 583
492 + 93 = 585
493 + 94 = 587
494 + 95 = 589
495 + 96 = 591
496 + 97 = 593
497 + 98 = 595
498 + 99 = 597
499 + 100 = 599
500 + 1 = 501
501 + 2 = 503
502 + 3 = 505
503 + 4 = 507
504 + 5 = 509
505 + 6 = 511
506 + 7 = 513
507 + 8 = 515
508 + 9 = 517
509 + 10 = 519
510 + 11 = 521
511 + 12 = 523
512 + 13 = 525
513 + 14 = 527
514 + 15 = 529
515 + 16 = 531
516 + 17 = 533
517 + 18 = 535
518 + 19 = 537
519 + 20 = 539
520 + 21 = 541
521 + 22 = 543
522 + 23 = 545
523 + 24 = 547
524 + 25 = 549
525 + 26 = 551
526 + 27 = 553
527 + 28 = 555
528 + 29 = 557
529 + 30 = 559
530 + 31 = 561
531 + 32 = 563
532 + 33 = 565
533 + 34 = 567
534 + 35 = 569
535 + 36 = 571
536 + 37 = 573
537 + 38 = 575
538 + 39 = 577
539 + 40 = 579
540 + 41 = 581
541 + 42 = 583
542 + 43 = 585
543 + 44 = 587
544 + 45 = 589
545 + 46 = 591
546 + 47 = 593
547 + 48 = 595
548 + 49 = 597
549 + 50 = 599
550 + 51 = 601
551 + 52 = 603
552 + 53 = 605
553 + 54 = 607
554 + 55 = 609
555 + 56 = 611
556 + 57 = 613
557 + 58 = 615
558 + 59 = 617
559 + 60 = 619
560 + 61 = 621
561 + 62 = 623
562 + 63 = 625
563 + 64 = 627
564 + 65 = 629
565 + 66 = 631
566 + 67 = 633
567 + 68 = 635
568 + 69 = 637
569 + 70 = 639
570 + 71 = 641
571 + 72 = 643
572 + 73 = 645
573 + 74 = 647
574 + 75 = 649
575 + 76 = 651
576 + 77 = 653
577 + 78 = 655
578 + 79 = 657
579 + 80 = 659
580 + 81 = 661
581 + 82 = 663
582 + 83 = 665
583 + 84 = 667
584 + 85 = 669
585 + 86 = 671
586 + 87 = 673
587 + 88 = 675
588 + 89 = 677
589 + 90 = 679
590 + 91 = 681
591 + 92 = 683
592 + 93 = 685
593 + 94 = 687
594 + 95 = 689
595 + 96 = 691
596 + 97 = 693
597 + 98 = 695
598 + 99 = 697
599 + 100 = 699
600 + 1 = 601
601 + 2 = 603
602 + 3 = 605
603 + 4 = 607
604 + 5 = 609
605 + 6 = 611
606 + 7 = 613
607 + 8 = 615
608 + 9 = 617
609 + 10 = 619
610 + 11 = 621
611 + 12 = 623
612 + 13 = 625
613 + 14 = 627
614 + 15 = 629
615 + 16 = 631
616 + 17 = 633
617 + 18 = 635
618 + 19 = 637
619 + 20 = 639
620 + 21 = 641
621 + 22 = 643
622 + 23 = 645
623 + 24 = 647
624 + 25 = 649
625 + 26 = 651
626 + 27 = 653
627 + 28 = 655
628 + 29 = 657
629 + 30 = 659
630 + 31 = 661
631 + 32 = 663
632 + 33 = 665
633 + 34 = 667
634 + 35 = 669
635 + 36 = 671
636 + 37 = 673
637 + 38 = 675
638 + 39 = 677
639 + 40 = 679
640 + 41 = 681
641 + 42 = 683
642 + 43 = 685
643 + 44 = 687
644 + 45 = 689
645 + 46 = 691
646 + 47 = 693
647 + 48 = 695
648 + 49 = 697
649 + 50 = 699
650 + 51 = 701
651 + 52 = 703
652 + 53 = 705
653 + 54 = 707
654 + 55 = 709
655 + 56 = 711
656 + 57 = 713
657 + 58 = 715
658 + 59 = 717
659 + 60 = 719
660 + 61 = 721
661 + 62 = 723
662 + 63 = 725
663 + 64 = 727
664 + 65 = 729
665 + 66 = 731
666 + 67 = 733
667 + 68 = 735
668 + 69 = 737
669 + 70 = 739
670 + 71 = 741
671 + 72 = 743
672 + 73 = 745
673 + 74 = 747
674 + 75 = 749
675 + 76 = 751
676 + 77 = 753
677 + 78 = 755
678 + 79 = 757
679 + 80 = 759
680 + 81 = 761
681 + 82 = 763
682 + 83 = 765
683 + 84 = 767
684 + 85 = 769
685 + 86 = 771
686 + 87 = 773
687 + 88 = 775
688 + 89 = 777
689 + 90 = 779
690 + 91 = 781
691 + 92 = 783
692 + 93 = 785
693 + 94 = 787
694 + 95 = 789
695 + 96 = 791
696 + 97 = 793
697 + 98 = 795
698 + 99 = 797
699 + 100 = 799
700 + 1 = 701
701 + 2 = 703
702 + 3 = 705
703 + 4 = 707
704 + 5 = 709
705 + 6 = 711
706 + 7 = 713
707 + 8 = 715
708 + 9 = 717
709 + 10 = 719
710 + 11 = 721
711 + 12 = 723
712 + 13 = 725
713 + 14 = 727
714 + 15 = 729
715 + 16 = 731
716 + 17 = 733
717 + 18 = 735
718 + 19 = 737
719 + 20 = 739
720 + 21 = 741
721 + 22 = 743
722 + 23 = 745
723 + 24 = 747
724 + 25 = 749
725 + 26 = 751
726 + 27 = 753
727 + 28 = 755
728 + 29 = 757
729 + 30 = 759
730 + 31 = 761
731 + 32 = 763
732 + 33 = 765
733 + 34 = 767
734 + 35 = 769
735 + 36 = 771
736 + 37 = 773
737 + 38 = 775
738 + 39 = 777
739 + 40 = 779
740 + 41 = 781
741 + 42 = 783
742 + 43 = 785
743 + 44 = 787
744 + 45 = 789
745 + 46 = 791
746 + 47 = 793
747 + 48 = 795
748 + 49 = 797
749 + 50 = 799
750 + 51 = 801
751 + 52 = 803
752 + 53 = 805
753 + 54 = 807
754 + 55 = 809
755 + 56 = 811
756 + 57 = 813
757 + 58 = 815
758 + 59 = 817
759 + 60 = 819
760 + 61 = 821
761 + 62 = 823
762 + 63 = 825
763 + 64 = 827
764 + 65 = 829
765 + 66 = 831
766 + 67 = 833
767 + 68 = 835
768 + 69 = 837
769 + 70 = 839
770 + 71 = 841
771 + 72 = 843
772 + 73 = 845
773 + 74 = 847
774 + 75 = 849
775 + 76 = 851
776 + 77 = 853
777 + 78 = 855
778 + 79 = 857
779 + 80 = 859
780 + 81 = 861
781 + 82 = 863
782 + 83 = 865
783 + 84 = 867
784 + 85 = 869
785 + 86 = 871
786 + 87 = 873
787 + 88 = 875
788 + 89 = 877
789 + 90 = 879
790 + 91 = 881
791 + 92 = 883
792 + 93 = 885
793 + 94 = 887
794 + 95 = 889
795 + 96 = 891
796 + 97 = 893
797 + 98 = 895
798 + 99 = 897
799 + 100 = 899
800 + 1 = 801
801 + 2 = 803
802 + 3 = 805
803 + 4 = 807
804 + 5 = 809
805 + 6 = 811
806 + 7 = 813
807 + 8 = 815
808 + 9 = 817
809 + 10 = 819
810 + 11 = 821
811 + 12 = 823
812 + 13 = 825
813 + 14 = 827
814 + 15 = 829
815 + 16 = 831
816 + 17 = 833
817 + 18 = 835
818 + 19 = 837
819 + 20 = 839
820 + 21 = 841
821 + 22 = 843
822 + 23 = 845
823 + 24 = 847
824 + 25 = 849
825 + 26 = 851
826 + 27 = 853
827 + 28 = 855
828 + 29 = 857
829 + 30 = 859
830 + 31 = 861
831 + 32 = 863
832 + 33 = 865
833 + 34 = 867
834 + 35 = 869
835 + 36 = 871
836 + 37 = 873
837 + 38 = 875
838 + 39 = 877
839 + 40 = 879
840 + 41 = 881
841 + 42 = 883
842 + 43 = 885
843 + 44 = 887
844 + 45 = 889
845 + 46 = 891
846 + 47 = 893
847 + 48 = 895
848 + 49 = 897
849 + 50 = 899
850 + 51 = 901
851 + 52 = 903
852 + 53 = 905
853 + 54 = 907
854 + 55 = 909
855 + 56 = 911
856 + 57 = 913
857 + 58 = 915
858 + 59 = 917
859 + 60 = 919
860 + 61 = 921
861 + 62 = 923
862 + 63 = 925
863 + 64 = 927
864 + 65 = 929
865 + 66 = 931
866 + 67 = 933
867 + 68 = 935
868 + 69 = 937
869 + 70 = 939
870 + 71 = 941
871 + 72 = 943
872 + 73 = 945
873 + 74 = 947
874 + 75 = 949
875 + 76 = 951
876 + 77 = 953
877 + 78 = 955
878 + 79 = 957
879 + 80 = 959
880 + 81 = 961
881 + 82 = 963
882 + 83 = 965
883 + 84 = 967
884 + 85 = 969
885 + 86 = 971
886 + 87 = 973
887 + 88 = 975
888 + 89 = 977
889 + 90 = 979
890 + 91 = 981
891 + 92 = 983
892 + 93 = 985
893 + 94 = 987
894 + 95 = 989
895 + 96 = 991
896 + 97 = 993
897 + 98 = 995
898 + 99 = 997
899 + 100 = 999
900 + 1 = 901
901 + 2 = 903
902 + 3 = 905
903 + 4 = 907
904 + 5 = 909
905 + 6 = 911
906 + 7 = 913
907 + 8 = 915
908 + 9 = 917
909 + 10 = 919
910 + 11 = 921
911 + 12 = 923
912 + 13 = 925
913 + 14 = 927
914 + 15 = 929
915 + 16 = 931
916 + 17 = 933
917 + 18 = 935
918 + 19 = 937
919 + 20 = 939
920 + 21 = 941
921 + 22 = 943
922 + 23 = 945
923 + 24 = 947
924 + 25 = 949
925 + 26 = 951
926 + 27 = 953
927 + 28 = 955
928 + 29 = 957
929 + 30 = 959
930 + 31 = 961
931 + 32 = 963
932 + 33 = 965
933 + 34 = 967
934 + 35 = 969
935 + 36 = 971
936 + 37 = 973
937 + 38 = 975
938 + 39 = 977
939 + 40 = 979
940 + 41 = 981
941 + 42 = 983
942 + 43 = 985
943 + 44 = 987
944 + 45 = 989
945 + 46 = 991
946 + 47 = 993
947 + 48 = 995
948 + 49 = 997
949 + 50 = 999
950 + 51 = 1001
951 + 52 = 1003
952 + 53 = 1005
953 + 54 = 1007
954 + 55 = 1009
955 + 56 = 1011
956 + 57 = 1013
957 + 58 = 1015
958 + 59 = 1017
959 + 60 = 1019
960 + 61 = 1021
961 + 62 = 1023
962 + 63 = 1025
963 + 64 = 1027
964 + 65 = 1029
965 + 66 = 1031
966 + 67 = 1033
967 + 68 = 1035
968 + 69 = 1037
969 + 70 = 1039
970 + 71 = 1041
971 + 72 = 1043
972 + 73 = 1045
973 + 74 = 1047
974 + 75 = 1049
975 + 76 = 1051
976 + 77 = 1053
977 + 78 = 1055
978 + 79 = 1057
979 + 80 = 1059
980 + 81 = 1061
981 + 82 = 1063
982 + 83 = 1065
983 + 84 = 1067
984 + 85 = 1069
985 + 86 = 1071
986 + 87 = 1073
987 + 88 = 1075
988 + 89 = 1077
989 + 90 = 1079
990 + 91 = 1081
991 + 92 = 1083
992 + 93 = 1085
993 + 94 = 1087
994 + 95 = 1089
995 + 96 = 1091
996 + 97 = 1093
997 + 98 = 1095
998 + 99 = 1097
999 + 100 = 1099
1000 + 1 = 1001
-- end of problems
